Last Name,First Name,Email Address,Lab 22 (More About Strings),Quiz 18 (slicing and unpacking),Lab 1,Quiz 1 (Syllabus),Lab 2 (Variables and Data Types),Quiz 2 (Variables and Data Types),Lab 3,"Quiz 3 (print, input and arithmetic operators)",Lab 4,Quiz 4,Assignment 1 (Chapter 2 problems 13 and 14),Lab 5 (Exploring Conditions and Boolean Logic),Quiz 5 (Boolean Logic and Conditions),Lab 6 (Conditions - CodingBat problem),"Quiz 6 (conditions on conditionals, nested conditions)",Assignment 2 (Roulette Wheel Colors),Lab 7 (while loops),Quiz 7 (Iterations #1),Lab 8 ,Quiz 8 (for loops and range),Lab 9 (interactive play),"Quiz 9 (Chapter 2, 3 and 4 Recaps)",Assignment 3 (for and while loops),Lab 10 (Functions - An Introduction),Quiz 10 (Functions - Intro),"Quiz 11 (Positional, Keyword, Optional Arguments)",Assignment 4 (Functions) (Auto-Tester),"Lab 11: Functions - Positional, Keyword, Optional Arguments",Quiz 12 (Functions and Variable Scope),Lab 12 (Functions and Variable Scope),Python 101 - MIdTerm Test ,Lab 14 (File I/O),Week 14 Quiz (File I/O),Lab 15 (Errors and Exceptions),Quiz 15 (Errors and Exceptions),Assignment 5 (File I/O),Lab 16 (Lists: An introduction),Quiz 16 (Lists: An introduction),Assignment 6 (Coding Bat - List-1 problems),Lab 17 - Exploring List Traversals,"Quiz 17 (List Traversals, Map Filter Reduce)",Lab 18 (Unpacking and Slicing),Lab 19 (List Comprehension,Quiz 19 (List comprehension),"Lab 20 (Mixed, Nested, 2D Lists)","Quiz 20 (Mixed, Nested, 2D Lists)",Lab 21 (Tuples),Quiz 21 (Tuples),Assignment (Attend a Seminar),Quiz 22 (More About Strings),Lab 23 (Sets),Quiz 23 (Sets),Lab 24 (Dictionaries),Quiz 24 (Dictionaries),Assignment (Sets and Dictionary),Lab 25 (Binary and Decimal Conversions),Quiz 25 (Binary and Decimal Conversions),Lab 26 (Binary Operations),Quiz 26 (Comprehensive Quiz),Assignment 7: Magic Square
ln10,fn10,fn10.ln10@learnandhelp.com,,,,,10,10,6,10,10,9,0,0,12,10,10,,0,10,0,10,10,20,,,9,,,,11,,,,7,,10,,,9,,,8,,,7,,7,,8,,8,,,,8,,,9,,8.5,
ln11,fn11,fn11.ln11@learnandhelp.com,9,9,10,7,10,10,10,10,10,8,27,10,12,10,10,25,10,10,10,10,10,20,,,10,,,,11,,66,,9,,9,,,10,,9,10,,,10,,8,10,10,25,10,,10,,10,,,9,,9,24
ln12,fn12,fn12.ln12@learnandhelp.com,,,10,6,10,10,9,10,,8,,10,12,0,10,,0,10,,10,10,20,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ln13,fn13,fn13.ln13@learnandhelp.com,100,8,10,7,10,0,6,10,10,8,30,10,12,10,10,23,10,10,10,10,10,20,,,10,,,,12,10,,,10,,11,,,10,,,8,,,9,,10,10,9,,10,,10,,,,,,,9,
ln14,fn14,fn14.ln14@learnandhelp.com,,,10,7,10,10,10,10,10,8,29.5,10,12,10,10,25,,10,,10,10,20,,,10,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
ln15,fn15,fn15.ln15@learnandhelp.com,,,,7,10,10,10,10,10,8,,,12,10,10,,5,10,,,,,,,9,,,,12,,0,,9,,11,,,10,,0,,,,10,,9,,10,,9,,,,,,,10,,9,
ln16,fn16,fn16.ln16@learnandhelp.com,10,7,10,7,10,10,10,10,10,8,,,12,10,10,,10,10,10,10,5,20,,,8,,,,12,,36,,7,,9,,,8,,10,8,,,7,,7,10,10,,9,,9,,7,,,8,,8.5,
ln17,fn17,fn17.ln17@learnandhelp.com,,,10,7,10,10,10,10,,0,30,,12,10,,,10,,10,,,,,,10,,,,11,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ln18,fn18,fn18.ln18@learnandhelp.com,,,10,7,10,10,10,10,9,8,15,10,12,10,10,25,10,10,10,10,10,20,,,10,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
ln19,fn19,fn19.ln19@learnandhelp.com,9.5,,10,7,10,10,10,10,10,8,30,10,12,10,10,25,5,10,10,10,10,20,,10,10,,,,,10,,,9,,11,,,9,,,7,,,10,,9,10,10,,9,,9,,9,,,10,,10,25
,fn20,fn20.ln20@learnandhelp.com,10,9,10,7,10,10,10,,10,8,0,10,12,10,10,25,10,10,10,10,10,20,,,8,,,,11,,,,9,,9,,,10,,10,9,,,9,,9,10,10,,8,,9,,9,,,7,,9,24
ln21,fn21,fn21.ln21@learnandhelp.com,,,10,7,10,10,10,10,10,8,30,10,12,10,10,23,10,10,10,10,10,20,,,10,,,,12,,44,,9,,10,,,,,10,0,,,10,,10,10,9,25,,,,,,,,10,,10,25
ln22,fn22,fn22.ln22@learnandhelp.com,,,10,7,10,10,,10,,0,,10,12,10,10,,,,,10,,,,,7,,,,,,0,,8,,,,,10,,0,,,,,,,,7,,,,,,,,,,,,
ln23,fn23,fn23.ln23@learnandhelp.com,,,10,7,10,10,10,10,10,8,,,,,10,0,,10,0.83,10,,0,,,0,12,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ln24,fn24,fn24.ln24@learnandhelp.com,10,,10,7,10,10,10,10,10,8,30,10,12,10,10,25,10,10,10,10,10,20,,,10,,,,12,,,,10,,11,,,10,,,9,,,10,,10,,,,10,,,,10,,,10,,10,
ln25,fn25,fn25.ln25@learnandhelp.com,,,10,7,,10,10,10,10,8,30,10,12,10,10,,5,10,8,10,10,20,,,0,,,,12,,0,,,,11,,,10,,,10,,,,,10,,,,10,,,,,,,10,,,
ln26,fn26,fn26.ln26@learnandhelp.com,,,10,7,10,10,10,10,10,8,30,10,12,10,10,25,10,10,10,10,10,20,,,8,,,,10,,,,8,,10,,,9,,,10,,,8,,,,10,,,,10,,10,,,,,,
ln27,fn27,fn27.ln27@learnandhelp.com,,,10,7,10,10,100,10,10,8,,10,12,10,10,,,10,0,10,10,20,,,0,,,,,,32,,10,,0,,,,,0,,,,10,,,,10,,,,10,,,,,9,,,
ln28,fn28,fn28.ln28@learnandhelp.com,10,,10,7,10,10,10,10,10,8,0,10,12,9,10,25,10,10,10,10,10,20,,,5,,,,4,,,,8,,6,,,7,,10,7,,,5,,5,10,3,,3,,3,,8,,,6,,6,
ln29,fn29,fn29.ln29@learnandhelp.com,,,10,6,10,0,10,10,0,0,0,10,12,,10,0,0,10,,10,10,20,,,8,,,,11,,,,9,,11,,,9,,,10,,,8,,4,,,,8,,,,8,,,8,,,
ln30,fn30,fn30.ln30@learnandhelp.com,,10,10,7,10,10,100,10,10,8,30,10,12,10,10,25,10,10,10,10,10,20,,,10,,,,12,,72,,10,,11,,,10,,10,10,,,10,,10,10,10,25,10,,10,,,,,10,,,25
